"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"P4805",NA,67,"115","119",128,131
"P4806",NA,62,"106","115",128,131
"P4807",NA,71,"124","131",139,141
"P4808",NA,73,"119","131",139,141
"P4901",NA,77,"145","159",153,174
"P4902",NA,82,"131","141",145,149
"P4903",NA,87,"141","166",149,187
"P4904",NA,67,"159","162",185,193
"P4905",NA,69,"135","139",149,151
"P4906",NA,62,"131","145",149,153
"P4907",NA,67,"139","141",149,151
"P4908",NA,69,"121","131",135,139
"P4909",NA,73,"124","131",139,141
"P5001",NA,64,"115","149",124,162
"P5002",NA,69,"141","168",162,217
"P5003",NA,71,"168","174",202,210
"P5004",NA,69,"124","128",135,139
"P5005",NA,64,"124","131",139,141
"P5006",NA,69,"135","139",149,159
"P5007",NA,67,"109","117",117,131
"P5008",NA,67,"124","131",139,141
"P5101",NA,73,"139","141",149,159
"P5102",NA,67,"135","139",139,153
"P5103",NA,69,"131","139",141,145
"P5104",NA,62,"131","135",139,145
"P5105",NA,62,"109","115",124,131
"P5106",NA,67,"131","139",141,149
"P5107",NA,69,"124","131",139,141
"P5108",NA,67,"139","141",153,166
"P5109",NA,67,"124","131",135,139
"P5201",NA,73,"131","139",139,151
"P5202",NA,69,"124","128",135,139
"P5203",NA,64,"121","141",149,153
"P5204",NA,69,"117","162",174,185
"P5205",NA,69,"117","124",128,131
"P5206",NA,73,"106","109",119,119
"P5207",NA,69,"124","128",141,151
"P5208",NA,64,"119","131",139,141
"P5301",NA,71,"128","153",139,159
"P5302",NA,91,"131","139",141,149
"P5303",NA,84,"141","145",151,168
"P5304",NA,77,"117","126",128,139
"P5305",NA,84,"124","131",135,139
"P5306",NA,41,"145","155",193,198
"P5307",NA,69,"131","135",145,149
"P5308",NA,69,"119","128",131,141
"P5309",NA,64,"139","141",149,151
"P5401",NA,89,"139","141",147,149
"P5402",NA,93,"155","159",174,176
"P5403",NA,89,"145","153",151,168
"P5404",NA,69,"128","141",149,162
"P5405",NA,67,"145","153",151,179
"P5406",NA,69,"124","139",141,149
"P5407",NA,73,"135","139",147,149
"P5408",NA,67,"115","121",131,139
"P5501",NA,91,"139","141",149,162
"P5502",NA,67,"109","139",119,149
"P5503",NA,64,"113","117",128,131
"P5504",NA,73,"117","131",135,139
"P5505",NA,84,"121","131",135,139
"P5506",NA,64,"111","117",128,131
"P5507",NA,69,"128","135",139,141
"P5508",NA,67,"119","128",128,145
"P5509",NA,69,"139","141",145,151
"P5601",NA,91,"153","159",174,181
"P5602",NA,73,"128","139",141,151
"P5603",NA,67,"111","117",121,131
"P5604",NA,69,"145","159",168,172
"P5605",NA,69,"139","145",147,153
"P5606",NA,67,"115","117",128,131
"P5607",NA,69,"117","133",141,153
"P5608",NA,69,"135","139",147,151
"P5701",NA,71,"124","151",139,166
"P5702",NA,62,"131","141",135,151
"P5703",NA,64,"131","141",147,162
"P5704",NA,67,"141","153",162,198
"P5705",NA,89,"168","176",198,210
"P5706",NA,67,"117","131",139,149
"P5707",NA,67,"121","124",135,139
"P5708",NA,87,"145","166",174,198
"P5709",NA,57,"145","159",168,172
"P5801",NA,71,"162","166",190,207
"P5802",NA,62,"106","115",124,131
"P5803",NA,67,"153","159",168,198
"P5804",NA,82,"168","172",193,198
"P5805",NA,73,"135","139",149,151
"P5806",NA,84,"141","147",151,168
"P5807",NA,62,"117","124",128,131
"P5808",NA,73,"124","131",139,145
"P5901",NA,71,"135","139",141,151
"P5902",NA,69,"139","141",159,162
"P5903",NA,67,"111","117",128,141
"P5904",NA,69,"128","135",145,151
"P5905",NA,62,"111","115",124,131
"P5906",NA,73,"128","139",141,151
"P5907",NA,59,"128","141",139,149
"P5908",NA,69,"128","139",141,151
"P5909",NA,62,"145","147",149,151
"P6001",NA,67,"117","145",128,151
"P6002",NA,69,"113","145",115,151
"P6003",NA,73,"124","139",141,151
"P6004",NA,67,"113","117",128,131
"P6005",NA,64,"128","135",139,141
"P6006",NA,69,"115","121",135,139
"P6007",NA,87,"131","141",139,153
"P6008",NA,73,"128","139",141,153
"P6101",NA,91,"139","141",145,149
"P6102",NA,73,"124","179",141,193
"P6103",NA,64,"135","139",149,159
"P6104",NA,71,"119","168",131,193
"P6105",NA,69,"121","131",135,151
"P6106",NA,67,"109","121",121,139
"P6107",NA,87,"139","141",145,153
"P6108",NA,64,"109","124",128,131
"P6109",NA,69,"139","149",141,168
