"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"C1923",98,112,"177","179",200,221
"C2001",99,119,"167","174",200,NA
"C2002",NA,NA,NA,NA,NA,NA
"C2003",NA,NA,NA,NA,NA,NA
"C2004",103,116,"174","179",197,209
"C2005",95,116,"177","179",200,207
"C2006",118,127,"176","179",197,207
"C2007",94,112,"175","176",197,202
"C2008",98,118,"172","174",200,209
"C2009",94,112,"177","179",200,221
"C2010",95,128,"179","183",197,209
"C2011",105,112,"162","165",176,187
"C2012",99,112,"165","169",187,202
"C2013",NA,NA,NA,NA,NA,NA
"C2014",111,124,"172","174",190,NA
"C2015",99,110,"174","176",202,207
"C2016",99,116,"183","187",202,NA
"C2017",95,119,"165","167",181,193
"C2018",107,115,"190","193",216,NA
"C2019",114,124,"156","158",169,167
"C2020",107,119,"173","174",190,200
"C2021",95,109,"177","179",202,207
"C2022",99,115,"174","179",197,200
"C2101",111,124,"176","181",197,211
"C2102",90,99,"172","174",197,200
"C2103",93,111,"165","167",179,183
"C2104",108,128,"176","190",200,218
"C2105",94,127,"181","197",207,218
"C2106",98,115,"176","179",197,207
"C2107",94,109,"167","169",190,193
"C2108",100,123,"168","169",181,193
"C2109",94,116,"156","165",172,187
"C2110",94,103,"177","179",200,209
"C2111",95,103,"177","179",202,209
"C2112",104,120,"161","165",172,176
"C2113",109,121,"165","167",181,187
"C2114",95,111,"166","167",187,193
"C2115",102,112,"176","179",200,209
"C2116",99,116,"158","165",172,174
"C2117",103,116,"172","174",200,218
"C2118",95,119,"173","174",197,200
"C2119",97,109,"174","176",193,207
"C2120",118,129,"169","181",190,200
"C2121",110,120,"172","174",190,200
"C2122",104,116,"166","167",181,190
"C2123",95,127,"193","200",216,NA
"C2201",95,119,"172","174",197,207
"C2202",95,109,"169","172",187,200
"C2203",96,103,"165","167",179,187
"C2204",94,109,"161","165",181,190
"C2205",96,108,"170","172",197,202
"C2206",95,116,"176","179",200,207
"C2207",111,124,"179","183",197,211
"C2208",94,108,"174","179",200,207
"C2209",95,116,"177","179",202,221
"C2210",96,103,"165","167",179,187
"C2211",110,117,"172","179",200,202
"C2212",95,110,"169","172",193,200
"C2213",94,111,"166","167",176,190
"C2214",104,112,"176","179",197,200
"C2215",99,128,"161","169",181,207
"C2216",93,99,"181","187",200,207
"C2217",NA,NA,NA,NA,NA,NA
"C2218",99,109,"161","167",179,183
"C2219",96,109,"161","167",176,181
"C2220",NA,NA,NA,NA,NA,NA
"C2221",97,103,"165","167",187,190
"C2222",95,106,"176","179",200,207
"C2301",94,110,"176","179",200,211
"C2302",102,128,"165","169",190,193
"C2303",96,116,"167","172",187,202
"C2304",95,110,"173","174",190,200
"C2305",99,111,"174","179",193,209
"C2306",94,116,"165","167",174,190
"C2307",97,119,"179","187",200,211
"C2308",94,120,"158","161",172,179
"C2309",104,112,"177","179",200,202
"C2310",114,127,"179","181",200,NA
"C2311",99,116,"170","172",197,202
"C2312",95,110,"158","161",174,176
"C2313",107,117,"162","165",179,187
"C2314",99,110,"161","165",176,187
"C2315",99,109,"165","167",179,183
"C2316",109,121,"177","179",200,223
"C2317",96,119,"172","179",193,209
"C2318",94,119,"172","187",202,209
"C2319",92,113,"156","161",172,181
"C2320",111,124,"172","176",190,200
"C2321",116,125,"172","174",190,200
"C2322",108,116,"170","172",193,200
"C2323",96,110,"179","181",200,210
"C2401",134,NA,"176","179",200,219
"C2402",109,122,"172","179",190,216
"C2403",94,102,"158","161",176,190
"C2404",102,113,"169","174",187,200
"C2405",96,103,"169","172",187,200
"C2406",96,103,"156","158",172,176
"C2407",94,109,"170","172",187,200
"C2408",108,137,"180","181",202,204
"C2409",96,112,"165","167",179,183
"C2410",95,112,"169","172",187,193
"C2411",110,120,"172","179",197,202
"C2412",97,110,"176","179",200,207
"C2413",112,127,"190","193",209,223
"C2414",96,110,"158","161",172,176
"C2415",106,112,"190","193",216,NA
"C2416",103,116,"165","169",179,190
"C2417",97,110,"174","176",197,200
"C2418",103,116,"165","167",187,190
"C2419",104,112,"170","172",193,200
"C2420",98,112,"173","174",200,204
"C2421",98,120,"170","172",190,200
"C2422",98,112,"161","165",176,179
"C2501",96,118,"165","169",181,187
"C2502",109,127,"200","218",NA,NA
"C2503",106,112,"187","193",216,NA
"C2504",96,103,"165","167",181,187
"C2505",93,103,"161","167",179,190
"C2506",94,109,"169","172",197,200
"C2507",99,119,"177","179",197,200
"C2508",95,116,"167","172",190,202
"C2509",95,119,"190","193",200,211
"C2510",96,120,"165","167",179,190
"C2511",96,127,"172","174",197,207
"C2512",99,120,"165","167",176,183
"C2513",99,110,"190","193",216,NA
"C2514",108,120,"165","167",176,183
"C2515",108,120,"165","167",176,183
"C2516",114,125,"197","200",NA,NA
"C2517",96,116,"165","169",187,200
"C2518",108,127,"174","176",197,200
"C2519",97,112,"158","167",172,183
"C2520",96,116,"177","179",200,204
"C2521",94,106,"169","172",200,221
"C2522",116,124,"168","169",187,207
"C2523",95,111,"172","174",190,209
"C2601",NA,NA,NA,NA,NA,NA
"C2602",96,111,"172","176",197,200
"C2603",112,127,"173","174",197,200
"C2604",109,116,"166","167",188,190
"C2605",99,119,"179","181",200,221
"C2606",99,110,"156","158",174,176
"C2607",98,110,"165","167",190,193
"C2608",96,103,"167","169",188,190
"C2609",99,109,"173","174",190,200
"C2610",106,116,"172","174",197,204
"C2611",112,127,"165","174",183,207
"C2612",96,120,"190","193",216,223
"C2613",106,112,"190","200",225,NA
"C2614",94,103,"177","179",200,204
"C2615",104,112,"161","167",172,187
"C2616",98,119,"172","174",190,221
"C2617",99,112,"166","167",183,190
"C2618",100,119,"167","174",183,200
"C2619",98,121,"174","176",202,207
"C2620",105,116,"165","167",181,190
"C2621",104,116,"167","176",190,204
"C2622",110,127,"172","176",197,204
"C2701",93,112,"158","165",172,179
"C2702",96,116,"167","172",190,200
"C2703",126,147,"187","200",NA,NA
"C2704",135,NA,"187","193",204,NA
"C2705",96,109,"174","176",197,200
"C2706",107,124,"165","167",179,190
"C2707",110,120,"175","176",197,NA
"C2708",102,112,"174","176",197,200
"C2709",116,123,"166","167",183,190
"C2710",108,124,"172","176",190,200
"C2711",109,125,"180","181",197,NA
"C2712",96,109,"169","172",190,193
"C2713",95,112,"166","167",190,200
"C2714",107,116,"170","172",183,190
"C2715",110,127,"181","187",200,221
"C2716",99,109,"172","174",197,200
"C2717",95,116,"168","169",187,200
"C2718",96,116,"166","167",187,190
"C2719",107,119,"187","190",NA,NA
"C2720",94,112,"183","193",207,NA
"C2721",105,127,"174","176",197,216
"C2722",95,112,"179","181",200,207
"C2723",119,127,"187","193",202,207
"C2801",95,103,"166","167",187,190
"C2802",104,116,"158","165",169,174
"C2803",97,116,"165","167",187,200
"C2804",99,112,"167","169",193,200
"C2805",96,112,"169","172",187,190
"C2806",95,110,"172","174",187,190
"C2807",NA,NA,NA,NA,NA,NA
"C2808",105,120,"161","165",172,179
"C2809",NA,NA,NA,NA,NA,NA
"C2810",104,119,"161","167",179,197
"C2811",96,112,"167","169",187,190
"C2812",96,110,"161","167",176,190
"C2813",99,109,"165","167",181,187
"C2814",110,125,"175","176",200,211
"C2815",95,112,"156","167",172,176
"C2816",103,112,"190","193",216,NA
"C2817",96,109,"161","165",179,181
"C2818",117,127,"174","179",193,211
"C2819",96,110,"158","161",169,172
"C2820",102,120,"172","174",187,197
"C2821",104,112,"172","174",193,197
"C2822",109,121,"183","187",202,207
"C2901",106,119,"179","181",200,207
"C2902",102,111,"165","167",183,187
"C2903",93,103,"169","172",187,193
"C2904",97,120,"172","176",193,197
"C2905",100,119,"175","176",193,197
"C2906",107,122,"174","181",193,207
"C2907",96,116,"174","176",193,197
"C2908",97,112,"176","179",197,200
"C2909",104,124,"169","176",197,204
"C2910",112,127,"176","179",200,207
"C2911",109,116,"172","174",190,197
"C2912",94,112,"161","167",187,193
"C2913",95,112,"168","169",187,193
"C2914",92,110,"165","167",181,190
"C2915",107,124,"158","169",172,179
"C2916",96,109,"165","167",176,181
"C2917",95,111,"167","174",193,204
"C2918",94,106,"161","165",176,181
"C2919",95,109,"169","172",193,197
"C2920",92,116,"173","174",197,216
"C2921",94,102,"173","174",193,197
"C2922",113,127,"204","221",NA,NA
"C2923",96,111,"174","176",190,202
"C3001",112,124,"165","169",183,187
"C3002",95,112,"165","169",179,207
"C3003",95,111,"158","165",172,174
"C3004",95,116,"172","179",190,207
"C3005",103,121,"181","183",200,207
"C3006",98,121,"174","179",197,207
"C3007",94,109,"165","167",179,193
"C3008",104,112,"172","174",197,207
"C3009",97,112,"156","167",172,197
"C3010",104,112,"172","176",197,209
"C3011",96,112,"181","187",204,211
"C3012",126,147,"172","179",181,NA
"C3013",96,116,"165","167",190,200
"C3014",107,120,"177","179",197,200
"C3015",114,147,"197","218",NA,NA
"C3016",115,127,"177","179",200,NA
"C3017",99,117,"165","169",179,197
"C3018",96,113,"156","165",172,176
"C3019",108,116,"169","172",187,190
"C3020",109,112,"190","200",221,NA
"C3021",95,112,"165","167",179,187
"C3022",109,127,"179","183",202,207
"C3101",94,109,"166","167",179,183
"C3102",103,126,"177","179",NA,204
"C3103",94,127,"174","179",202,207
"C3104",109,121,"174","176",197,200
"C3105",103,121,"174","179",197,218
"C3106",99,109,"190","197",216,NA
"C3107",98,120,"167","174",187,197
"C3108",110,120,"169","174",190,200
"C3109",107,112,"193","197",221,223
"C3110",NA,NA,NA,NA,NA,NA
"C3111",112,121,"162","165",177,179
"C3112",108,127,"172","174",193,207
"C3113",109,108,"172","174",190,200
"C3114",95,126,"177","179",197,221
"C3115",111,118,"172","174",190,221
"C3116",NA,NA,NA,NA,NA,NA
"C3117",108,112,"172","174",193,200
"C3118",105,116,"176","181",200,207
"C3119",104,110,"169","172",190,193
"C3120",108,118,"187","193",204,207
"C3121",NA,NA,NA,NA,NA,NA
"C3122",105,119,"169","174",183,211
"C3123",122,147,"180","181",200,216
"C3201",99,112,"168","169",179,183
"C3202",92,112,"167","172",183,190
"C3203",92,109,"156","167",172,190
"C3204",96,118,"176","179",200,204
"C3205",96,121,"158","165",174,183
"C3206",97,112,"169","172",187,193
"C3207",96,118,"165","167",174,179
"C3208",105,119,"168","169",190,197
"C3209",96,127,"167","174",197,207
"C3210",98,111,"172","174",190,204
"C3211",96,105,"156","161",172,179
"C3212",96,106,"165","167",183,190
"C3213",99,112,"179","181",200,207
"C3214",94,116,"165","169",187,197
"C3215",96,111,"172","174",190,193
"C3216",102,123,"161","165",179,183
"C3217",95,106,"172","174",193,197
"C3218",96,106,"173","174",190,193
"C3219",105,128,"165","169",179,193
"C3220",NA,NA,NA,NA,NA,NA
"C3221",97,109,"172","174",197,202
"C3222",109,126,"174","176",NA,200
"C3301",NA,NA,NA,NA,NA,NA
"C3302",95,112,"169","172",190,197
"C3303",95,111,"165","167",183,193
"C3304",96,110,"172","174",190,197
"C3305",108,127,"174","193",197,207
"C3306",104,118,"169","174",190,197
"C3307",95,111,"158","167",174,183
"C3308",99,109,"169","172",190,193
"C3309",105,120,"179","181",200,207
"C3310",119,127,"174","176",197,204
"C3311",112,127,"176","181",193,207
"C3312",95,116,"156","161",169,174
"C3313",105,112,"165","167",177,179
"C3314",NA,NA,"193","197",203,204
"C3315",114,147,"161","167",176,179
"C3316",96,108,"165","169",187,190
"C3317",96,112,"175","176",197,202
"C3318",111,127,"167","169",190,211
"C3319",111,128,"156","161",167,174
"C3320",96,112,"167","169",190,193
"C3321",99,120,"169","172",190,193
"C3322",104,119,"176","179",200,218
"C3323",113,127,"176","179",202,221
"C3401",96,99,"172","174",190,197
"C3402",108,116,"193","197",NA,NA
"C3403",90,96,"179","190",200,202
"C3404",99,127,"161","167",172,179
"C3405",96,126,"165","167",181,183
"C3406",117,147,"175","176",190,193
"C3407",95,116,"179","181",200,207
"C3408",99,111,"169","172",193,197
"C3409",94,112,"158","165",176,181
"C3410",104,111,"193","197",216,NA
"C3411",95,111,"179","181",200,NA
"C3412",103,127,"169","176",193,197
"C3413",106,112,"190","193",216,223
"C3414",94,110,"167","169",221,NA
"C3415",95,106,"169","172",190,193
"C3416",104,116,"169","174",190,193
"C3417",96,127,"177","179",197,207
"C3418",95,106,"172","176",193,197
"C3419",96,110,"182","183",200,207
"C3420",96,110,"175","176",193,200
"C3421",109,120,"172","174",197,204
"C3422",106,112,"172","174",193,197
"C3501",8,109,"156","161",172,181
"C3502",96,109,"184","187",202,209
"C3503",95,110,"167","169",187,193
"C3504",94,117,"172","176",193,200
"C3505",108,127,"156","161",165,169
"C3506",95,111,"158","165",176,187
"C3507",102,112,"175","176",202,207
"C3508",105,112,"176","179",200,207
"C3509",106,120,"174","179",193,200
"C3510",98,119,"176","179",200,204
"C3511",106,116,"176","179",197,209
"C3512",112,124,"193","197",216,221
"C3513",96,160,"167","172",193,197
"C3514",109,158,"165","174",181,193
"C3515",108,116,"193","197",223,NA
"C3516",108,117,"169","172",190,193
"C3517",114,124,"181","190",202,218
"C3518",96,110,"172","174",190,200
"C3519",94,109,"172","174",193,197
"C3520",99,111,"158","165",172,190
"C3521",96,109,"165","167",179,183
"C3522",92,99,"161","165",172,187
"C3523",110,119,"169","174",190,193
"C3601",92,102,"162","165",181,183
"C3602",96,112,"165","167",179,193
"C3603",99,111,"156","161",174,181
"C3604",104,112,"165","169",179,190
"C3605",107,116,"168","169",187,207
"C3606",95,103,"169","172",187,190
"C3607",108,119,"169","174",190,197
"C3608",95,110,"175","176",190,193
"C3609",99,110,"169","172",187,207
"C3610",103,109,"156","161",169,172
"C3611",96,118,"165","167",187,197
"C3612",99,111,"179","183",202,218
"C3613",96,110,"158","165",172,187
"C3614",105,112,"175","174",193,197
"C3615",99,111,"161","165",183,187
"C3616",95,111,"175","176",197,200
"C3617",107,116,"177","179",216,223
"C3618",98,118,"174","179",200,202
"C3619",109,110,"190","193",216,NA
"C3620",105,112,"165","167",183,204
"C3621",108,119,"175","176",200,218
"C3622",94,110,"177","179",202,207
"C3701",99,113,"158","169",172,183
"C3702",95,112,"158","165",176,181
"C3703",109,124,"176","179",193,204
