"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"T1821",NA,NA,"118","131",141,144
"T1901",NA,NA,"116","129",133,144
"T1902",NA,NA,"131","133",144,146
"T1903",NA,NA,"120","133",139,149
"T1904",NA,NA,"136","146",149,172
"T1905",NA,NA,"124","133",141,153
"T1906",NA,NA,"155","172",199,204
"T1907",NA,NA,"149","155",172,179
"T1908",NA,NA,"148","155",172,179
"T1909",NA,NA,"115","129",131,149
"T1910",NA,NA,"131","132",149,153
"T1911",NA,NA,"124","136",139,149
"T1912",NA,NA,"121","138",136,146
"T1913",NA,NA,"155","163",172,190
"T1914",NA,NA,"121","131",138,153
"T1915",NA,NA,"124","131",139,151
"T1916",NA,NA,"155","165",199,202
"T1917",NA,NA,"132","149",151,177
"T1918",NA,NA,"149","166",181,190
"T1919",NA,NA,"122","132",141,151
"T1920",NA,NA,"158","166",186,190
"T1921",NA,NA,"113","126",132,151
"T2001",NA,NA,"123","131",136,151
"T2002",NA,NA,"110","117",131,133
"T2003",NA,NA,"186","190",221,229
"T2004",NA,NA,"131","144",148,160
"T2005",NA,NA,"128","133",144,149
"T2006",NA,NA,"121","144",141,172
"T2007",NA,NA,"129","148",143,166
"T2008",NA,NA,"126","139",141,153
"T2009",NA,NA,"136","146",149,172
"T2010",NA,NA,"158","166",193,202
"T2011",NA,NA,"123","131",139,149
"T2012",NA,NA,"118","131",132,153
"T2013",NA,NA,"124","136",141,151
"T2014",NA,NA,"121","144",139,163
"T2015",NA,NA,"155","158",169,181
"T2016",NA,NA,"119","132",141,151
"T2017",NA,NA,"129","141",144,181
"T2018",NA,NA,"129","143",139,158
"T2019",NA,NA,"144","153",169,181
"T2020",NA,NA,"116","131",133,151
"T2021",NA,NA,"126","132",144,153
"T2101",NA,NA,"133","141",149,179
"T2102",NA,NA,"159","166",188,193
"T2103",NA,NA,"126","129",141,146
"T2104",NA,NA,"136","158",166,172
"T2105",NA,NA,"129","139",148,172
"T2106",NA,NA,"118","136",139,153
"T2107",NA,NA,"121","123",133,144
"T2108",NA,NA,"144","153",160,172
"T2109",NA,NA,"109","144",133,163
"T2110",NA,NA,"121","144",133,153
"T2111",NA,NA,"115","123",131,151
"T2112",NA,NA,"138","146",151,172
"T2113",NA,NA,"122","140",139,151
"T2114",NA,NA,"143","138",158,177
"T2115",NA,NA,"114","127",133,144
"T2116",NA,NA,"129","146",143,172
"T2117",NA,NA,"136","146",151,172
"T2118",NA,NA,"117","128",133,146
"T2119",NA,NA,"126","139",139,158
"T2120",NA,NA,"119","131",136,144
"T2121",NA,NA,"148","155",166,172
"T2201",NA,NA,"118","126",132,150
"T2202",NA,NA,"121","139",132,158
"T2203",NA,NA,"129","146",151,172
"T2204",NA,NA,"168","176",199,202
"T2205",NA,NA,"131","136",148,172
"T2206",NA,NA,"129","146",146,174
"T2207",NA,NA,"121","129",133,153
"T2208",NA,NA,"121","133",133,153
"T2209",NA,NA,"126","144",141,176
"T2210",NA,NA,"107","115",126,132
"T2211",NA,NA,"115","123",127,146
"T2212",NA,NA,"121","136",139,153
"T2213",NA,NA,"110","113",132,133
