"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"V3103",NA,67,"153","161",169,194
"V3104",NA,74,"161","167",178,201
"V3105",NA,67,"127","133",144,150
"V3106",NA,74,"135","144",152,172
"V3107",NA,74,"155","168",170,200
"V3108",NA,74,"135","144",152,161
"V3109",NA,67,"133","140",150,157
"V3110",NA,67,"135","146",152,159
"V3111",NA,74,"127","131",141,146
"V3112",NA,78,"125","132",140,146
"V3113",NA,74,"129","136",144,151
"V3114",NA,67,"184","191",NA,NA
"V3115",NA,74,"136","141",152,158
"V3116",NA,74,"137","143",151,157
"V3117",NA,60,"170","174",202,221
"V3118",NA,74,"127","133",142,150
"V3119",NA,74,"126","131",142,149
"V3120",NA,74,"121","129",135,144
"V3201",NA,74,"154","171",92,200
"V3202",NA,74,"154","159",169,188
"V3203",NA,78,"133","138",145,157
"V3204",NA,74,"125","130",138,145
"V3205",NA,74,"133","140",150,175
"V3206",NA,67,"128","134",145,151
"V3207",NA,74,"120","130",134,144
"V3208",NA,74,"116","122",132,136
"V3209",NA,74,"134","143",150,171
"V3210",NA,67,"135","139",149,155
"V3211",NA,74,"147","152",159,175
"V3212",NA,74,"151","159",166,196
"V3213",NA,74,"131","135",149,158
"V3214",NA,74,"151","156",164,174
"V3215",NA,81,"132","139",145,191
"V3216",NA,74,"136","146",156,166
"V3217",NA,81,"154","158",171,203
"V3218",NA,78,"152","163",167,185
"V3219",NA,74,"122","130",137,145
"V3301",NA,74,"133","138",146,158
"V3302",NA,74,"136","142",151,168
"V3303",NA,81,"152","158",168,181
"V3304",NA,74,"136","149",151,162
"V3305",NA,74,"129","137",144,152
"V3306",NA,67,"145","148",158,161
"V3307",NA,74,"120","128",134,144
"V3308",NA,60,"170","174",200,NA
"V3309",NA,74,"145","152",157,171
"V3310",NA,78,"129","143",144,157
"V3311",NA,78,"136","169",151,202
"V3312",NA,67,"162","169",180,203
"V3313",NA,78,"133","137",149,156
"V3314",NA,78,"128","132",142,150
"V3315",NA,67,"149","155",164,169
"V3316",NA,78,"135","143",149,159
"V3317",NA,74,"153","163",169,181
"V3318",NA,81,"152","171",169,200
"V3319",NA,74,"145","160",161,190
"V3320",NA,74,"147","152",160,166
